Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
1997,"(26, 10)","(26, 11)","(28, 14)","(29, 19)","(32, 21)","(32, 23)","(35, 23)","(37, 25)","(33, 20)","(32, 19)","(31, 16)","(27, 12)"
1998,"(27, 9)","(27, 9)","(29, 12)","(33, 19)","(33, 21)","(33, 22)","(34, 24)","(35, 25)","(34, 24)","(33, 21)","(30, 18)","(28, 14)"
1999,"(26, 9)","(28, 12)","(31, 12)","(32, 18)","(32, 18)","(35, 25)","(35, 26)","(36, 24)","(34, 23)","(33, 20)","(29, 12)","(24, 5)"
2000,"(25, 7)","(25, 8)","(28, 19)","(29, 19)","(33, 22)","(34, 22)","(35, 25)","(35, 25)","(33, 24)","(33, 19)","(28, 13)","(26, 11)"
2001,"(25, 10)","(27, 10)","(29, 14)","(33, 15)","(33, 23)","(35, 24)","(34, 24)","(35, 25)","(34, 25)","(33, 21)","(30, 13)","(29, 8)"
2002,"(26, 8)","(26, 9)","(28, 14)","(33, 17)","(34, 23)","(35, 24)","(35, 24)","(35, 24)","(34, 23)","(31, 18)","(29, 15)","(29, 6)"
2003,"(25, 7)","(27, 12)","(28, 10)","(32, 19)","(33, 22)","(34, 24)","(35, 27)","(35, 25)","(34, 23)","(32, 20)","(33, 13)","(27, 10)"
2004,"(24, 7)","(26, 7)","(27, 13)","(32, 18)","(33, 19)","(36, 25)","(37, 24)","(36, 25)","(34, 24)","(32, 20)","(29, 16)","(27, 7)"
2005,"(24, 5)","(26, 8)","(28, 9)","(30, 14)","(32, 14)","(34, 19)","(37, 25)","(34, 24)","(35, 24)","(34, 20)","(31, 15)","(26, 10)"
2006,"(26, 8)","(26, 10)","(28, 9)","(33, 15)","(33, 20)","(35, 23)","(37, 25)","(34, 25)","(34, 20)","(32, 23)","(31, 18)","(29, 12)"
2007,"(24, 10)","(26, 11)","(30, 11)","(31, 12)","(34, 21)","(35, 23)","(35, 25)","(35, 25)","(34, 25)","(33, 21)","(29, 12)","(27, 12)"
2008,"(27, 7)","(21, 7)","(28, 11)","(31, 17)","(33, 20)","(34, 24)","(36, 24)","(34, 24)","(35, 25)","(32, 23)","(31, 12)","(27, 10)"
2009,"(25, 8)","(29, 15)","(29, 13)","(30, 17)","(33, 21)","(34, 24)","(35, 24)","(36, 25)","(35, 25)","(33, 23)","(32, 9)","(25, 10)"
2010,"(26, 10)","(29, 7)","(29, 8)","(29, 13)","(32, 21)","(34, 21)","(36, 24)","(35, 25)","(35, 24)","(34, 16)","(28, 17)","(28, 5)"
2011,"(18, 6)","(28, 8)","(28, 13)","(31, 18)","(33, 20)","(36, 24)","(36, 26)","(36, 25)","(35, 23)","(31, 21)","(32, 17)","(25, 10)"
2012,"(23, 7)","(27, 9)","(30, 12)","(31, 19)","(34, 25)","(34, 26)","(36, 24)","(36, 26)","(34, 24)","(31, 18)","(30, 13)","(27, 7)"
2013,"(25, 10)","(27, 11)","(30, 13)","(31, 16)","(34, 18)","(36, 23)","(35, 25)","(34, 25)","(34, 24)","(32, 19)","(31, 13)","(25, 9)"
2014,"(25, 10)","(26, 6)","(29, 14)","(30, 18)","(34, 19)","(36, 25)","(35, 26)","(36, 24)","(35, 26)","(35, 23)","(30, 18)","(26, 11)"
2015,"(25, 11)","(28, 11)","(29, 15)","(32, 15)","(34, 23)","(36, 25)","(35, 25)","(37, 25)","(34, 25)","(33, 19)","(31, 15)","(28, 11)"
2016,"(25, 3)","(28, 8)","(27, 10)","(30, 20)","(33, 21)","(36, 25)","(36, 25)","(35, 25)","(35, 23)","(32, 21)","(31, 13)","(27, 11)"
2017,"(27, 13)","(26, 10)","(27, 14)","(31, 16)","(33, 22)","(35, 25)","(37, 25)","(37, 25)","(35, 26)","(35, 20)",,
