Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
1997,26,26,28,29,32,32,35,37,33,32,31,27
1998,27,27,29,33,33,33,34,35,34,33,30,28
1999,26,28,31,32,32,35,35,36,34,33,29,24
2000,25,25,28,29,33,34,35,35,33,33,28,26
2001,25,27,29,33,33,35,34,35,34,33,30,29
2002,26,26,28,33,34,35,35,35,34,31,29,29
2003,25,27,28,32,33,34,35,35,34,32,33,27
2004,24,26,27,32,33,36,37,36,34,32,29,27
2005,24,26,28,30,32,34,37,34,35,34,31,26
2006,26,26,28,33,33,35,37,34,34,32,31,29
2007,24,26,30,31,34,35,35,35,34,33,29,27
2008,27,21,28,31,33,34,36,34,35,32,31,27
2009,25,29,29,30,33,34,35,36,35,33,32,25
2010,26,29,29,29,32,34,36,35,35,34,28,28
2011,18,28,28,31,33,36,36,36,35,31,32,25
2012,23,27,30,31,34,34,36,36,34,31,30,27
2013,25,27,30,31,34,36,35,34,34,32,31,25
2014,25,26,29,30,34,36,35,36,35,35,30,26
2015,25,28,29,32,34,36,35,37,34,33,31,28
2016,25,28,27,30,33,36,36,35,35,32,31,27
2017,27,26,27,31,33,35,37,37,35,35,,
