Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
1997,10,11,14,19,21,23,23,25,20,19,16,12
1998,9,9,12,19,21,22,24,25,24,21,18,14
1999,9,12,12,18,18,25,26,24,23,20,12,5
2000,7,8,19,19,22,22,25,25,24,19,13,11
2001,10,10,14,15,23,24,24,25,25,21,13,8
2002,8,9,14,17,23,24,24,24,23,18,15,6
2003,7,12,10,19,22,24,27,25,23,20,13,10
2004,7,7,13,18,19,25,24,25,24,20,16,7
2005,5,8,9,14,14,19,25,24,24,20,15,10
2006,8,10,9,15,20,23,25,25,20,23,18,12
2007,10,11,11,12,21,23,25,25,25,21,12,12
2008,7,7,11,17,20,24,24,24,25,23,12,10
2009,8,15,13,17,21,24,24,25,25,23,9,10
2010,10,7,8,13,21,21,24,25,24,16,17,5
2011,6,8,13,18,20,24,26,25,23,21,17,10
2012,7,9,12,19,25,26,24,26,24,18,13,7
2013,10,11,13,16,18,23,25,25,24,19,13,9
2014,10,6,14,18,19,25,26,24,26,23,18,11
2015,11,11,15,15,23,25,25,25,25,19,15,11
2016,3,8,10,20,21,25,25,25,23,21,13,11
2017,13,10,14,16,22,25,25,25,26,20,,
